Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date,Location
060104,ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PARKWAY,WESTMINSTER,CO,80023,BROOMFIELD,3034303201,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"14300 ORCHARD PARKWAY
WESTMINSTER, CO 80023
"
070029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,06010,HARTFORD,8605853000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,01/01/2014,12/31/2014,"BREWSTER RD
BRISTOL, CT 06010
"
080003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,3024214100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,01/01/2014,12/31/2014,"7TH AND CLAYTON STS
WILMINGTON, DE 19805
"
100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,OKALOOSA,8506784131,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,01/01/2014,12/31/2014,"2190 HWY 85 N
NICEVILLE, FL 32578
"
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,POLK,8634224971,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,01/01/2014,12/31/2014,"40100 US HWY 27 N
DAVENPORT, FL 33837
"
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,01/01/2014,12/31/2014,"3100 DOUGLAS RD
CORAL GABLES, FL 33134
"
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,MIAMI-DADE,3052233000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"11750 BIRD RD
MIAMI, FL 33175
"
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,BARTOW,7703878182,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"960 JOE FRANK HARRIS PARKWAY
CARTERSVILLE, GA 30120
"
110042,WELLSTAR PAULDING HOSPITAL,2518 JIMMY LEE SMITH PARKWAY,HIRAM,GA,30141,PAULDING,4706447000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,01/01/2014,12/31/2014,"2518 JIMMY LEE SMITH PARKWAY
HIRAM, GA 30141
"
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,TOOMBS,9125355828,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,01/01/2014,12/31/2014,"ONE MEADOWS PARKWAY
VIDALIA, GA 30474
"
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HAWAII,8088854444,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.81,,01/01/2014,12/31/2014,"67 1125 MAMALAHOA HIGHWAY
KAMUELA, HI 96743
"
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,01/01/2014,12/31/2014,"ONE MEMORIAL DRIVE
ALTON, IL 62002
"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"15TH STREET AT CALIFORNIA
CHICAGO, IL 60608
"
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,01/01/2014,12/31/2014,"ST ANTHONY'S WAY
ALTON, IL 62002
"
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.03,,01/01/2014,12/31/2014,"ONE INGALLS DRIVE
HARVEY, IL 60426
"
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.08,,01/01/2014,12/31/2014,"800 W BIESTERFIELD RD
ELK GROVE VILLAGE, IL 60007
"
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"ONE KISH HOSPITAL DRIVE
DEKALB, IL 60115
"
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"1373 EAST SR 62
MADISON, IN 47250
"
180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,FAYETTE,8593131000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"ONE SAINT JOSEPH DRIVE
LEXINGTON, KY 40504
"
180079,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,HARRISON,8592342300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"1210 KY HWY 36 E
CYNTHIANA, KY 41031
"
180080,BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,CORBIN,KY,40701,KNOX,6065281212,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,01/01/2014,12/31/2014,"ONE TRILLIUM WAY
CORBIN, KY 40701
"
190027,CHRISTUS ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY STREET,LAKE CHARLES,LA,70601,CALCASIEU,3374362511,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,01/01/2014,12/31/2014,"524 DR MICHAEL DEBAKEY STREET
LAKE CHARLES, LA 70601
"
190144,MINDEN MEDICAL CENTER,NO 1 MEDICAL PLAZA,MINDEN,LA,71055,WEBSTER,3183772321,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,01/01/2014,12/31/2014,"NO 1 MEDICAL PLAZA
MINDEN, LA 71055
"
200018,AROOSTOOK MEDICAL CENTER,PO BOX 151,PRESQUE ISLE,ME,04769,AROOSTOOK,2077684000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.89,,01/01/2014,12/31/2014,"PO BOX 151
PRESQUE ISLE, ME 04769
"
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,04401,PENOBSCOT,2079737000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,01/01/2014,12/31/2014,"PO BOX 404
BANGOR, ME 04401
"
200034,ST MARYS REGIONAL MEDICAL CENTER,CAMPUS AVENUE - PO BOX 7291,LEWISTON,ME,04240,ANDROSCOGGIN,2077778100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"CAMPUS AVENUE - PO BOX 7291
LEWISTON, ME 04240
"
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,ESSEX,9786834000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,01/01/2014,12/31/2014,"ONE GENERAL STREET
LAWRENCE, MA 01842
"
220084,EMERSON HOSPITAL,OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,MIDDLESEX,9783691400,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"OLD ROAD TO 9 ACRE CORNER
W CONCORD, MA 01742
"
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,MASON,2318432591,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.87,,01/01/2014,12/31/2014,"ONE N ATKINSON DRIVE
LUDINGTON, MI 49431
"
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,GENESEE,8102579000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"ONE HURLEY PLAZA
FLINT, MI 48503
"
230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,WASHTENAW,7347123456,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"5301 E HURON RIVER DR
ANN ARBOR, MI 48106
"
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,GENESEE,8106065000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"ONE GENESYS PARKWAY
GRAND BLANC, MI 48439
"
230269,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,OAKLAND,2489648800,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,01/01/2014,12/31/2014,"44201 DEQUINDRE ROAD
TROY, MI 48085
"
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,WAYNE,3137453104,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"4201 ST ANTOINE ST - 3M
DETROIT, MI 48201
"
230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,OAKLAND,2489373370,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"ONE WILLIAM CARLS DRIVE
COMMERCE TOWNSHIP, MI 48382
"
240206,RED LAKE HOSPITAL A,PO BOX 497,REDLAKE,MN,56671,BELTRAMI,2186793912,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.72,,01/01/2014,12/31/2014,"PO BOX 497
REDLAKE, MN 56671
"
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,200 HWY 30 WEST,NEW ALBANY,MS,38652,UNION,6625387631,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.88,,01/01/2014,12/31/2014,"200 HWY 30 WEST
NEW ALBANY, MS 38652
"
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,LINCOLN,6018336011,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.94,,01/01/2014,12/31/2014,"P O BOX 948/427 HIGHWAY 51 NORTH
BROOKHAVEN, MS 39601
"
250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,ADAMS,6014432100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.13,,01/01/2014,12/31/2014,"52 SERGEANT PRENTISS DRIVE
NATCHEZ, MS 39120
"
250127,CHOCTAW HEALTH CENTER,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,NESHOBA,6016562211,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,1 - The number of cases/patients is too few to report.,01/01/2014,12/31/2014,"ROUTE 7 BOX R50
PHILADELPHIA, MS 39350
"
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,SAINT LOUIS,3145696000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"615 NEW BALLAS ROAD
SAINT LOUIS, MO 63141
"
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,3147473000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,01/01/2014,12/31/2014,"ONE BARNES-JEWISH HOSPITAL PLAZA
SAINT LOUIS, MO 63110
"
260141,UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,BOONE,5738824141,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,01/01/2014,12/31/2014,"ONE HOSPITAL DRIVE
COLUMBIA, MO 65212
"
260183,SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,CAPE GIRARDEAU,5733313000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,01/01/2014,12/31/2014,"211 ST FRANCIS DR
CAPE GIRARDEAU, MO 63703
"
270003,ST PETER'S HOSPITAL,2475 BROADWAY,HELENA,MT,59601,LEWIS AND CLARK,4064422480,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.86,,01/01/2014,12/31/2014,"2475 BROADWAY
HELENA, MT 59601
"
280009,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,BUFFALO,3088657100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,01/01/2014,12/31/2014,"P O BOX 1990, 10 EAST 31ST ST
KEARNEY, NE 68848
"
280013,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,DOUGLAS,4025522040,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,01/01/2014,12/31/2014,"987400 NEBRASKA MEDICAL CENTER
OMAHA, NE 68198
"
280133,"NEBRASKA SPINE HOSPITAL, LLC","P O BOX 34400, 6901 NORTH 72ND ST, STE 20300",OMAHA,NE,68122,DOUGLAS,4025723000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.92,,01/01/2014,12/31/2014,"P O BOX 34400, 6901 NORTH 72ND ST, STE 20300
OMAHA, NE 68122
"
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,CLARK,7026165000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.14,,01/01/2014,12/31/2014,"3001 ST ROSE PARKWAY
HENDERSON, NV 89052
"
310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAAS DRIVE,BELLEVILLE,NJ,07109,ESSEX,9734502002,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.13,,01/01/2014,12/31/2014,"ONE CLARA MAAS DRIVE
BELLEVILLE, NJ 07109
"
310010,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,08536,MIDDLESEX,8664604776,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.06,,01/01/2014,12/31/2014,"ONE-FIVE PLAINSBORO ROAD
PLAINSBORO, NJ 08536
"
310011,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,08210,CAPE MAY,6094632000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.97,,01/01/2014,12/31/2014,"TWO STONE HARBOR BLVD
CAPE MAY COURT HOUSE, NJ 08210
"
310034,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,07701,MONMOUTH,7327412700,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.05,,01/01/2014,12/31/2014,"ONE RIVERVIEW PLAZA
RED BANK, NJ 07701
"
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,08901,MIDDLESEX,7329378900,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.1,,01/01/2014,12/31/2014,"ONE ROBERT WOOD JOHNSON PLACE
NEW BRUNSWICK, NJ 08901
"
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,08534,MERCER,6093034000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,01/01/2014,12/31/2014,"ONE CAPITAL WAY
PENNINGTON, NJ 08534
"
310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,07042,ESSEX,9734296000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.07,,01/01/2014,12/31/2014,"BAY AND HIGHLAND AVE
MONTCLAIR, NJ 07042
"
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,08690,MERCER,6095867900,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.09,,01/01/2014,12/31/2014,"ONE HAMILTON HEALTH PLACE
HAMILTON, NJ 08690
"
320058,MESCALERO PHS INDIAN HOSPITAL,P O BOX 210,MESCALERO,NM,88340,OTERO,5054644441,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,1 - The number of cases/patients is too few to report.,01/01/2014,12/31/2014,"P O BOX 210
MESCALERO, NM 88340
"
320059,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,SAN JUAN,5053686001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.81,,01/01/2014,12/31/2014,"US HWY 491 NORTH
SHIPROCK, NM 87420
"
320060,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH B STREET,ZUNI,NM,87327,MCKINLEY,5057824431,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.66,,01/01/2014,12/31/2014,"ROUTE 301 NORTH B STREET
ZUNI, NM 87327
"
320062,CROWNPOINT HEALTHCARE FACILITY,JUNCTION OF HWY 371,CROWNPOINT,NM,87313,MCKINLEY,5057865291,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.69,,01/01/2014,12/31/2014,"JUNCTION OF HWY 371
CROWNPOINT, NM 87313
"
320070,DHHS USPHS INDIAN HEALTH SERVICES,EXIT #102 OFF I-40 1/2 MILE SOUTH,SAN FIDEL,NM,87049,CIBOLA,5055525300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.61,,01/01/2014,12/31/2014,"EXIT #102 OFF I-40 1/2 MILE SOUTH
SAN FIDEL, NM 87049
"
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"ONE GUSTAVE L LEVY PLACE
NEW YORK, NY 10029
"
330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,3157986000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"1656 CHAMPLIN AVENUE
UTICA, NY 13503
"
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.85,,01/01/2014,12/31/2014,"ONE NORTON AVENUE
ONEONTA, NY 13820
"
330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,01/01/2014,12/31/2014,"ONE ATWELL ROAD
COOPERSTOWN, NY 13326
"
330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.15,,01/01/2014,12/31/2014,"101 ST ANDREWS LANE
GLEN COVE, NY 11542
"
330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.02,,01/01/2014,12/31/2014,"270 - 05 76TH AVENUE
NEW HYDE PARK, NY 11040
"
